card_id,name,rarity,stone,wind,veil,oath,eye,weight,upkeep,total,rules_text,portrait_url,section
0600,Crimson Champion Lord,super,6,6,10,6,12,4,2,6,,crimson_champion_lord.png,
0601,Bone Gladiator King,super,4,5,10,12,6,7,0,7,,bone_gladiator_king.png,
0602,Arena Juggernaut King,super,11,8,5,4,5,6,0,6,,arena_juggernaut_king.png,
0603,Ash Demon Lord,super,4,9,12,6,4,2,5,7,,ash_demon_lord.png,
0604,Crimson Abomination Lord,super,5,6,6,8,8,1,4,5,,crimson_abomination_lord.png,
0605,Dust Titan King,super,5,10,10,5,5,1,6,7,,dust_titan_king.png,
0606,Ash Leviathan King,super,11,11,6,6,6,4,3,7,,ash_leviathan_king.png,
0607,Red Khan Lord,super,10,9,5,5,5,3,2,5,,red_khan_lord.png,
0608,Bone Chieftain King,super,5,6,5,11,12,1,6,7,,bone_chieftain_king.png,
0609,Canyon Lord King,super,8,6,5,12,4,3,3,6,,canyon_lord_king.png,
0610,Sandstorm Prophet Lord,super,5,12,4,5,9,2,4,6,,sandstorm_prophet_lord.png,
0611,Crimson Khan King,super,10,6,4,12,4,2,4,6,,crimson_khan_king.png,
0612,Glyph Knight King,super,5,8,5,9,6,6,0,6,,glyph_knight_king.png,
0613,Halo Paladin Lord,super,12,5,9,5,4,3,3,6,,halo_paladin_lord.png,
0614,Crystal Vanguard King,super,4,6,10,10,5,4,1,5,,crystal_vanguard_king.png,
0615,Obsidian Berserker King,super,6,4,8,9,4,5,2,7,,obsidian_berserker_king.png,
0616,Oath Champion Lord,super,5,5,8,8,4,5,2,7,,oath_champion_lord.png,
0617,Blood Hierophant Lord,super,6,10,6,10,4,4,3,7,,blood_hierophant_lord.png,
0618,Rune Exarch King,super,6,6,6,8,9,3,4,7,,rune_exarch_king.png,
0619,Halo Prelate Lord,super,8,9,4,4,5,3,2,5,,halo_prelate_lord.png,
0620,Void Inquisitor King,super,5,8,8,6,6,2,5,7,,void_inquisitor_king.png,
0621,Obelisk General King,super,6,11,4,9,4,6,1,7,,obelisk_general_king.png,
0622,Golden Strategos Lord,super,5,10,11,4,4,6,1,7,,golden_strategos_lord.png,
0623,Rune Captain King,super,5,12,5,11,4,5,1,6,,rune_captain_king.png,
0624,Halo Commander Lord,super,5,5,11,10,6,1,5,6,,halo_commander_lord.png,
0625,Void Centurion King,super,5,6,6,9,12,1,4,5,,void_centurion_king.png,
0626,Crystal Colossus King,super,5,5,9,6,9,5,2,7,,crystal_colossus_king.png,
0627,Oath Leviathan Lord,super,8,4,6,5,11,3,4,7,,oath_leviathan_lord.png,
0628,Ash Titan King,super,12,5,6,10,4,3,4,7,,ash_titan_king.png,
0629,Halo Seraph Lord,super,4,12,6,4,9,1,6,7,,halo_seraph_lord.png,
0630,Ash Hierarch Lord,super,6,6,12,4,8,4,1,5,,ash_hierarch_lord.png,
0631,Rune Pontiff King,super,11,4,4,11,5,6,1,7,,rune_pontiff_king.png,
0632,Halo Exemplar Lord,super,6,4,8,5,11,2,4,6,,halo_exemplar_lord.png,
0633,Void Exarch King,super,6,5,6,11,12,6,1,7,,void_exarch_king.png,
0634,Crystal General King,super,5,6,12,4,11,3,4,7,,crystal_general_king.png,
0635,Golden Strategist Lord,super,5,5,6,10,12,2,3,5,,golden_strategist_lord.png,
0636,Obelisk Warden King,super,5,5,11,11,5,3,2,5,,obelisk_warden_king.png,
0637,Rune Marshal King,super,12,8,5,5,6,3,3,6,,rune_marshal_king.png,
0638,Halo Praetor Lord,super,5,4,5,8,11,1,6,7,,halo_praetor_lord.png,
0639,Halo Seraphim Lord,super,6,6,5,9,9,5,0,5,,halo_seraphim_lord.png,
0640,Ash Lord King,super,5,9,11,6,5,4,2,6,,ash_lord_king.png,
0641,Rune Khan King,super,12,9,6,6,5,3,3,6,,rune_khan_king.png,
0642,Halo Regent Lord,super,4,8,10,4,5,2,5,7,,halo_regent_lord.png,
0643,Void King Lord,super,11,5,4,12,5,3,4,7,,void_king_lord.png,
0644,Pharaoh Of Chains The Eternal,super,6,4,4,8,11,3,3,6,,pharaoh_of_chains_the_eternal.png,
0645,River Titan The Flood King,super,9,11,6,4,6,1,4,5,,river_titan_the_flood_king.png,
0646,Idol Colossus The Living God,super,11,9,4,5,6,2,3,5,,idol_colossus_the_living_god.png,
0647,Marsh Leviathan The Drowned Queen,super,5,9,6,6,12,3,2,5,,marsh_leviathan_the_drowned_queen.png,
0648,Sandstorm Khan The Desert Lord,super,5,4,6,10,9,4,2,6,,sandstorm_khan_the_desert_lord.png,
0649,Eclipse Hierarch The Night King,super,4,9,5,9,5,4,1,5,,eclipse_hierarch_the_night_king.png,
0650,Void Augur The Hollow Prophet,super,5,6,12,11,6,6,0,6,,void_augur_the_hollow_prophet.png,
0651,Blood Moon Prophet The Crimson Oracle,super,4,11,5,8,4,2,3,5,,blood_moon_prophet_the_crimson_oracle.png,
0652,Chained Seer The Blind Judge,super,5,9,10,5,6,5,2,7,,chained_seer_the_blind_judge.png,
0653,Ashen Oracle The Ember Queen,super,6,5,8,6,8,3,3,6,,ashen_oracle_the_ember_queen.png,
0654,Bronze Pitlord The Arena King,super,12,5,10,5,6,3,4,7,,bronze_pitlord_the_arena_king.png,
0655,Crimson Duelmaster The Blood Regent,super,6,12,12,6,4,3,2,5,,crimson_duelmaster_the_blood_regent.png,
0656,Chain Warlord The Iron Tyrant,super,11,5,4,4,9,3,2,5,,chain_warlord_the_iron_tyrant.png,
0657,Masked Champion The Golden Face,super,12,6,12,5,6,5,0,5,,masked_champion_the_golden_face.png,
0658,Ash Gladiator Lord The Flame Sovereign,super,4,4,9,5,9,5,0,5,,ash_gladiator_lord_the_flame_sovereign.png,
0659,Glyph Knight The Rune King,super,10,5,4,12,4,4,3,7,,glyph_knight_the_rune_king.png,
0660,Halo Paladin The Radiant Lord,super,11,6,4,4,10,4,1,5,,halo_paladin_the_radiant_lord.png,
0661,Crystal Vanguard The Shard Emperor,super,5,12,4,10,4,2,3,5,,crystal_vanguard_the_shard_emperor.png,
0662,Obsidian Berserker The Black King,super,8,6,6,8,5,6,0,6,,obsidian_berserker_the_black_king.png,
0663,Oath Champion The Covenant King,super,5,11,9,6,4,1,5,6,,oath_champion_the_covenant_king.png,

